,คำนำหน้าชื่อ,ชื่อ,สกุล,พรรค,"เริ่มทำงานสภาสมัยนี้ในฐานะสมาชิกพรรค
512,นาย,อิทธิรัตน์,จันทรสุรินทร์,เพื่อไทย,2562-03-24
513,นาย,อิสสระ,สมชัย,ประชาธิปัตย์,2562-03-24
514,นาย,อุบลศักดิ์,บัวหลวงงาม,เพื่อไทย,2562-03-24
515,นาย,เอกการ,ซื่อทรงธรรม,ภูมิใจไทย,2562-03-24
516,นาย,เอกชัย,ทรงอำนาจเจริญ,เพื่อไทย,2562-03-24
517,นาย,เอกธนัช,อินทร์รอด,เพื่อไทย,2562-03-24
518,นายแพทย์,เอกภพ,เพียรพิเศษ,ก้าวไกล,2562-03-24
519,ดร.,เอกราช,ช่างเหลา,ภูมิใจไทย,2562-03-24
520,นาย,เอี่ยม,ทองใจสด,พลังประชารัฐ,2562-03-24
521,นาย,โอชิษฐ์,เกียรติก้องชูชัย,เพื่อไทย,2562-03-24
522,นาย,พีระวิทย์,เรื่องลือดลภาค,ไทรักธรรม,2562-03-24
523,นาย,อภิสิทธิ์,เวชชาชีวะ,ประชาธิปัตย์,2562-03-24
524,ศาสตราจารย์ ดร.,นฤมล,ภิญโญสินวัฒน์,พลังประชารัฐ,2562-03-24
525,นาย,สมเกียรติ,ศรลัมพ์,ประชาภิวัฒน์,2562-03-24
526,พลเอก,กนิษฐ์,ชาญปรีชญา,,2562-05-28
527,นาย,กรรณภว์,ธนภรรคภวิน,,2562-05-28
528,พลตรี,กลชัย,สุวรรณบูรณ์,,2562-05-28
529,นาย,กล้านรงค์,จันทิก,,2562-05-28
530,นาย,กษิดิศ,อาชวคุณ,,2562-05-28
531,นาง,กอบกุล,อาภากร ณ อยุธยา,,2562-05-28
532,นาง,กาญจนารัตน์,ลีวิโรจน์,,2562-05-28
533,นาย,กำพล,เลิศเกียรติดำรงค์,,2562-05-28
534,นาย,กิตติ,วะสีนนท์,,2562-05-28
535,นาย,กิตติศักดิ์,รัตนวราหะ,,2562-05-28
536,นาย,กูรดิสถ์,จันทร์ศรีชวาลา,,2562-05-28
537,นาย,เกียว,แก้วสุทอ,,2562-05-28
538,ดร.,ไกรสิทธิ์,ตันติศิรินทร์,,2562-05-28
539,นาย,ขวัญชาติ,วงศ์ศุภรานันต์,,2562-05-28
540,นาย,คำนูณ,สิทธิสมาน,,2562-05-28
541,นาย,จเด็จ,อินสว่าง,,2562-05-28
542,นาย,จรินทร์,จักกะพาก,,2562-05-28
543,พลโท,จเรศักณิ์,อานุภาพ,,2562-05-28
544,พลตำรวจเอก,จักรทิพย์,ชัยจินดา,,2562-05-28
545,พลตำรวจโท,จิตติ,รอดบางยาง,,2562-05-28
546,นาง,จินตนา,ชัยยวรรณาการ,,2562-05-28
547,นาย,จิรชัย,มูลทองโร่ย,,2562-05-28
548,นาง,จิรดา,สงฆ์ประชา,,2562-05-28
549,พลเอก,จิรพงศ์,วรรณรัตน์,,2562-05-28
550,พลเอก,จีระศักดิ์,ชมประสพ,,2562-05-28
551,นายแพทย์,เจตน์,ศิรธรานนท์,,2562-05-28
552,นาย,เจน,นำชัยศิริ,,2562-05-28
553,ดร.,ฉวีรัตน์,เกษตรสุนทร,,2562-05-28
554,พลเอก,ฉัตรเฉลิม,เฉลิมสุข,,2562-05-28
555,พลเอก,ฉัตรชัย,สาริกัลยะ,,2562-05-28
556,นาย,เฉลา,พวงมาลัย,,2562-05-28
557,พลอากาศตรี นายแพทย์,เฉลิมชัย,เครืองาม,,2562-05-28
558,ผู้ช่วยศาสตราจารย์ นายแพทย์,เฉลิมชัย,บุญยะลีพรรณ,,2562-05-28
559,นาย,เฉลิมชัย,เฟื่องคอน,,2562-05-28
560,นาย,เฉลียว,เกาะแก้ว,,2562-05-28
561,นาย,ชยุต,สืบตระกูล,,2562-05-28
562,พลเอก,ชยุติ,สุวรรณมาศ,,2562-05-28
563,นาย,ชลิต,แก้วจินดา,,2562-05-28
564,พลตำรวจเอก,ชัชวาลย์,สุขสมจิตร์,,2562-05-28
565,พลอากาศเอก,ชัยพฤกษ์,ดิษยะศริน,,2562-05-28
566,พลเรือเอก,ชัยวัฒน์,เอี่ยมสมุทร,,2562-05-28
567,ดร.,ชาญวิทย์,ผลชีวิน,,2562-05-28
568,พลเอก,ชาตอุดม,ติตถะสิริ,,2562-05-28
569,พลเรือเอก,ชุมนุม,อาจวงษ์,,2562-05-28
570,พลเอก,ชูศักดิ์,เมฆสุวรรณ์,,2562-05-28
571,พลเอก,เชวงศักดิ์,ทองสลวย,,2562-05-28
572,ว่าที่ร้อยตรี,เชิดศักดิ์,จำปาเทศ,,2562-05-28
573,นาย,เชิดศักดิ์,สันติวรวุฒิ,,2562-05-28
574,นาย,ซากีย์,พิทักษ์คุมพล,,2562-05-28
575,พลเรือเอก,ฐนิธ,กิตติอำพน,,2562-05-28
576,พลเรือเอก,ณรงค์,พิพัฒนาศัย,,2562-05-28
577,นาย,ณรงค์,รัตนานุกูล,,2562-05-28
578,นาย,ณรงค์,สหเมธาพัฒน์,,2562-05-28
579,นาย,ณรงค์,อ่อนสอาด,,2562-05-28
580,พลเอก,ณัฐ,อินทรเจริญ,,2562-05-28
581,พลเอก,ดนัย,มีชูเวท,,2562-05-28
582,นาง,ดวงพร,รอดพยาธื์,,2562-05-28
583,ดร.,ดาวน้อย,สุทธินิภาพันธ์,,2562-05-28
584,ดร.,ดิเรกฤทธิ์,เจนครองธรรม,,2562-05-28
585,นาย,ดุสิต,เขมะศักดิ์ชัย,,2562-05-28
586,พลตำรวจเอก,เดชณรงค์,สุทธิชาญบัญชา,,2562-05-28
587,พลตำรวจโท,ตรีทศ,รณฤทธิวิชัย,,2562-05-28
588,พลอากาศเอก,ตรีทศ,สนแจ้ง,,2562-05-28
589,ดร.,ตวง,อันทะไชย,,2562-05-28
590,พลเอก,ไตรโรจน์,ครุธเวโช,,2562-05-28
591,นาย,ถนัด,มานะพันธ์ุนิยม,,2562-05-28
592,นาย,ถวิล,เปลี่ยนศรี,,2562-05-28
593,นาย,ถาวร,เทพวิมลเพชรกุล,,2562-05-28
594,พลอากาศเอก,ถาวร,มณีพฤกษ์,,2562-05-28
595,นาย,ทรงเดช,เสมอคำ,,2562-05-28
596,พลเอก,ทวีป,เนตรนิยม,,2562-05-28
597,นายแพทย์,ทวีวงษ์,จุลกมนตรี,,2562-05-28
598,นาง,ทัศนา,ยุวานนท์,,2562-05-28
599,ร้อยเอก ดร.,ทินพันธุ์,นาคะตะ,,2562-05-28
600,พลเอก,เทพพงศ์,ทิพยจันทร์,,2562-05-28
601,พลเอก,ธงชัย,สาระสุข,,2562-05-28
602,พลเอก ดร.,ธนะศักดิ์,ปฏิมาประกร,,2562-05-28
603,พลเอก,ธวัชชัย,สมุทรสาคร,,2562-05-28
604,นาย,ธานี,สุโชดายน,,2562-05-28
605,นาย,ธานี,อ่อนละเอียด,,2562-05-28
606,พลเอก,ธีรเดช,มีเพียร,,2562-05-28
607,นาย,ธีระเกียรติ,เจริญเศรษฐศิลป์,,2562-05-28
608,พลเรือเอก,นพดล,โชคระดา,,2562-05-28
609,พลเอก,นพดล,อินทปัญญา,,2562-05-28
610,พลเอก,นาวิน,ดำริกาญจน์,,2562-05-28
611,นาย,นิพนธ์,นาคสมภพ,,2562-05-28
612,พลเอก,นิวัตร,มีนะโยธิน,,2562-05-28
613,ดร.,นิสดารก์,เวชยานนท์,,2562-05-28
614,นาย,นิอาแซ,ซีอุเซ็ง,,2562-05-28
615,นาย,เนาวรัตน์,พงษ์ไพบูลย์,,2562-05-28
616,นาย,บรรชา,พงศ์อายุกูล,,2562-05-28
617,พลเอก,บุญธรรม,โอริส,,2562-05-28
618,นาย,บุญมี,สุระโคตร,,2562-05-28
619,ดร.,บุญส่ง,ไข่เกษ,,2562-05-28
620,พลเอก ดร.,บุญสร้าง,เนียมประดิษฐ์,,2562-05-28
621,นาง,เบญจรัตน์,จริยธาราสิทธิ์,,2562-05-28
622,หม่อมหลวง,ปนัดดา,ดิศกุล,,2562-05-28
623,พลอากาศเอก ดร.,ประจิน,จั่นตอง,,2562-05-28
624,นาย,ประดิษฐ์,เหลืองอร่าม,,2562-05-28
625,นาง,ประภาศรี,สุฉันทบุตร,,2562-05-28
626,นาย,ประมนต์,สุธีวงศ์,,2562-05-28
627,นาย,ประมาณ,สว่างญาติ,,2562-05-28
628,ร้อยเอก,ประยุทธ,เสาวคนธ์,,2562-05-28
629,นาง,ประยูร,เหล่าสายเชื้อ,,2562-05-28
630,พลเอก ดร.,ประสาท,สุขเกษตร,,2562-05-28
631,รองศาสตราจารย์ ดร.,ประเสริฐ,ปิ่นปฐมรัฐ,,2562-05-28
632,พลตำรวจตรี,ปรัชญ์ชัย,ใจชาญสุขกิจ,,2562-05-28
633,พลเอก,ปรีชา,จันทร์โอชา,,2562-05-28
634,นาย,ปรีชา,บัววิรัตน์เลิศ,,2562-05-28
635,นาย,ปัญญา,งานเลิศ,,2562-05-28
636,พลเอก,ปัฐมพงศ์,ประถมภัฏ,,2562-05-28
637,นาย,ปานเทพ,กล้าณรงค์ราญ,,2562-05-28
638,ดร.,ปิยฉัฏฐ์,วันเฉลิม,,2562-05-28
639,นาย,ปิยพันธุ์,นิมมานเหมินท์,,2562-05-28
640,พลเอก,โปฎก,บุนนาค,,2562-05-28
641,นาง,ผาณิต,นิติทัณฑ์ประภาศ,,2562-05-28
642,แพทย์หญิง คุณหญิง,พรทิพย์,โรจนสุนันท์,,2562-05-28
643,พลเอก,พรพิพัฒน์,เบญญศรี,,2562-05-28
644,นาย,พรเพชร,วิชิตชลชัย,,2562-05-28
645,นายแพทย์,พลเดช,ปิ่นประทีป,,2562-05-28
646,พลเรือเอก,พะจุณณ์,ตามประทีป,,2562-05-28
647,พลเรือเอก,พัลลภ,ตมิศานนท์,,2562-05-28
648,นาง,พิกุลแก้ว,ไกรฤกษ์,,2562-05-28
649,นาย,พิทักษ์,ไชยเจริญ,,2562-05-28
650,พลเอก,พิศณุ,พุทธวงศ์,,2562-05-28
651,นาย,พิศาล,มาณวพัฒน์,,2562-05-28
652,พลตำรวจโท,พิสัณห์,จุลดิลก,,2562-05-28
653,พลเอก,พิสิทธิ์,สิทธิสาร,,2562-05-28
654,นาย,พีระศักดิ์,พอจิต,,2562-05-28
655,นาง,เพ็ญพักตร์,ศรีทอง,,2562-05-28
656,พลเอก,ไพชยนต์,ค้าทันเจริญ,,2562-05-28
657,นาย,ไพฑูรย์,หลิมวัฒนา,,2562-05-28
658,นาย,ไพโรจน์,พ่วงทอง,,2562-05-28
659,พลเอก,ไพโรจน์,พานิชสมัย,,2562-05-28
660,นางสาว,ภัทรา,วรามิตร,,2562-05-28
661,นาย,ภาณุ,อุทัยรัตน์,,2562-05-28
662,นาย,มณเฑียร,บุญตัน,,2562-05-28
663,พลอากาศเอก,มนัส,รูปขจร,,2562-05-28
664,นาย,มหรรณพ,เดชวิทักษ์,,2562-05-28
665,พลเอก,มารุต,ปัชโชตะสิงห์,,2562-05-28
666,พันตำรวจตรี ดร.,ยงยุทธ,สาระสมบัติ,,2562-05-28
667,พลเอก ดร.,ยอดยุทธ,บุญญาธิการ,,2562-05-28
668,พันตำรวจเอก,ยุทธกร,วงเวียน,,2562-05-28
669,นาย,ยุทธนา,ทัพเจริญ,,2562-05-28
670,นาย,รณวริทธิ์,ปริยฉัตรตระกูล,,2562-05-28
671,นาย,ระวี,รุ่งเรือง,,2562-05-28
672,นางสาว,เรณู,ตังคจิวางกูร,,2562-05-28
673,นาย,ลักษณ์,วจนานวัช,,2562-05-28
674,พลเรือเอก,ลือชัย,รุดดิษฐ์,,2562-05-28
675,พลเอก,เลิศรัตน์,รัตนวานิช,,2562-05-28
676,พลเอก,เลิศฤทธิ์,เวชสวรรค์,,2562-05-28
677,ว่าที่ร้อยตรี,วงศ์สยาม,เพ็งพานิชภักดี,,2562-05-28
678,พลเอก ดร.,วรพงษ์,สง่าเนตร,,2562-05-28
679,นาง,วรารัตน์,อติแพทย์,,2562-05-28
680,พลเอก,วราห์,บุญญะสิทธิ์,,2562-05-28
681,พลเอก,วลิต,โรจนภักดี,,2562-05-28
682,พลเอก,วสันต์,สุริยมงคล,,2562-05-28
683,พลเอก,วัฒนา,สรรพานิช,,2562-05-28
684,นาย,วันชัย,สอนศิริ,,2562-05-28
685,นาย,วัลลภ,ตังคณานุรักษ์,,2562-05-28
686,พลเอก ดร.,วิชิต,ยาทิพย์,,2562-05-28
687,นาย,วิทยา,ผิวผ่อง,,2562-05-28
688,พลเอก,วินัย,สร้างสุขดี,,2562-05-28
689,พลตำรวจโท,วิบูลย์,บางท่าไม้,,2562-05-28
690,นางสาว,วิบูลย์ลักษณ์,ร่วมรักษ์,,2562-05-28
691,นาย,วิรัตน์,เกสสมบูรณ์,,2562-05-28
692,นางสาว,วิไลลักษณ์,อรินทมะพงษ์,,2562-05-28
693,นาย,วิวรรธน์,แสงสุริยะฉัตร,,2562-05-28
694,นาย,วิสุทธิ์,ศรีสุพรรณ,,2562-05-28
695,นาย,วีระศักดิ์,ฟูตระกูล,,2562-05-28
696,นาย,วีระศักดิ์,โควสุรัตน์,,2562-05-28
697,นาย,วีระศักดิ์,ภูครองหิน,,2562-05-28
698,พลเอก,วีรัณ,ฉันทศาสตร์โกศล,,2562-05-28
699,นาย,วุฒิพันธุ์,วิชัยรัตน์,,2562-05-28
700,นาย,ศรีศักดิ์,วัฒนพรมงคล,,2562-05-28
701,นาย,ศักดิ์ชัย,ธนบุญชัย,,2562-05-28
702,ดร.,ศักดิ์ไทย,สุรกิจบวร,,2562-05-28
703,พลเรือเอก,ศักดิ์สิทธิ์,เชิดบุญเมือง,,2562-05-28
704,พลตำรวจโท,ศานิตย์,มหถาวร,,2562-05-28
705,ดร.,ศิรินา,ปวโรฬารวิทยา,,2562-05-28
706,พลเรือเอก,ศิษฐวัชร,วงษ์สุวรรณ,,2562-05-28
707,นาย,ศุภชัย,สมเจริญ,,2562-05-28
708,พลเอก,ศุภรัตน์,พัฒนาวิสุทธิ์,,2562-05-28
709,พลเอก,สกนธ์,สัจจานิตย์,,2562-05-28
710,พลเอก,สกล,ชื่นตระกูล,,2562-05-28
711,นายแพทย์ หม่อมหลวง,สกุล,มาลากุล,,2562-05-28
712,ดร.,สถิตย์,ลิ่มพงศ์พันธุ์,,2562-05-28
713,พลเรือโท,สนธยา,น้อยฉายา,,2562-05-28
714,พลเอก,สนธยา,ศรีเจริญ,,2562-05-28
715,พลเอก,สนั่น,มะเริงสิทธิ์,,2562-05-28
716,ดร.,สม,จาตุศรีพิทักษ์,,2562-05-28
717,พลเอก,สมเจตน์,บุญถนอม,,2562-05-28
718,นาย,สมชาย,ชาญณรงค์กุล,,2562-05-28
719,นาย,สมชาย,เสียงหลาย,,2562-05-28
720,นาย,สมชาย,แสวงการ,,2562-05-28
721,ดร.,สมชาย,หาญหิรัญ,,2562-05-28
722,นาย,สมเดช,นิลพันธุ์,,2562-05-28
723,พลตำรวจโท,สมบัติ,มิลินทจินดา,,2562-05-28
724,นาย,สมบูรณ์,งามลักษณ์,,2562-05-28
725,นาย,สมพล,เกียรติไพบูลย์,,2562-05-28
726,นาย,สมศักดิ์,โชติรัตนะศิริ,,2562-05-28
727,พลตำรวจโท,สมหมาย,กองวิสัยสุข,,2562-05-28
728,พลเอก,สมหมาย,เกาฏีระ,,2562-05-28
729,พลเอก,สราวุฒิ,ชลออยู่,,2562-05-28
730,นาย,สวัสดิ์,สมัครพงศ์,,2562-05-28
731,พลเอก,สสิน,ทองภักดี,,2562-05-28
732,ดร.,สังศิต,พิริยะรังสรรค์,,2562-05-28
733,นาย,สัญชัย,จุลมนต์,,2562-05-28
734,นาย,สาธิต,เหล่าสุวรรณ,,2562-05-28
735,นาย,สำราญ,ครรชิต,,2562-05-28
736,พลเอก,สำเริง,ศิวาดารงค์,,2562-05-28
737,พลเอก,สิงห์ศึก,สิงห์ไพร,,2562-05-28
738,พลอากาศเอก,สุจินต์,แช่มช้อย,,2562-05-28
739,นาย,สุชัย,บุตรสาระ,,2562-05-28
740,นาย,สุธี,มากบุญ,,2562-05-28
741,นาง,สุนี,จึงวิโรจน์,,2562-05-28
742,นาย,สุรชัย,ดนัยตั้งตระกูล,,2562-05-28
743,นาย,สุรชัย,เลี้ยงบุญเลิศชัย,,2562-05-28
744,พลเอก,สุรเชษฐ์,ชัยวงศ์,,2562-05-28
745,ดร.,สุรเดช,จิรัฐิติเจริญ,,2562-05-28
746,พลเอก,สุรพงษ์,สุวรรณอัตถ์,,2562-05-28
747,พลเอก,สุรศักดิ์,กาญจนรัตน์,,2562-05-28
748,นาย,สุรสิทธิ์,ตรีทอง,,2562-05-28
749,นาย,สุวพันธ์ุ,ตันยุวรรธนะ,,2562-05-28
750,นาย,สุวรรณ,เลิศปัญญาโรจน์,,2562-05-28
751,นาง,สุวรรณี,สิริเวชชะพันธ์,,2562-05-28
752,นาย,เสรี,สุวรรณภานนท์,,2562-05-28
753,พลเอก,อกนิษฐ์,หมื่นสวัสดิ์,,2562-05-28
754,พลอากาศเอก,อดิศักดิ์,กลั่นเสนาะ,,2562-05-28
755,พลตำรวจเอก,อดุลย์,แสงสิงแก้ว,,2562-05-28
756,พลเอก,อนันตพร,กาญจนรัตน์,,2562-05-28
757,นาย,อนุมัติ,อาหมัด,,2562-05-28
758,นาย,อนุศักดิ์,คงมาลัย,,2562-05-28
759,นาย,อนุศาสน์,สุวรรณมงคล,,2562-05-28
760,นาง,อภิรดี,ตันตราภรณ์,,2562-05-28
761,พลเอก,อภิรัชต์,คงสมพงษ์,,2562-05-28
762,นาย,อมร,นิลเปรม,,2562-05-28
763,นาย,ออน,กาจกระโทก,,2562-05-28
764,พลเอก,อักษรา,เกิดผล,,2562-05-28
765,นาย,อับดุลฮาลิม,มินซาร์,,2562-05-28
766,พลเอก,อาชาไนย,ศรีสุข,,2562-05-28
767,พลโท,อำพน,ชูประทุม,,2562-05-28
768,นาย,อำพล,จินดาวัฒนะ,,2562-05-28
769,พลเรือเอก,อิทธิคมน์,ภมรสูต,,2562-05-28
770,นายแพทย์,อุดม,คชินทร,,2562-05-28
771,นาย,อุดม,วรัญญูรัฐ,,2562-05-28
772,พลเอก,อุดมชัย,ธรรมสาโรรัชต์,,2562-05-28
773,นาย,อุปกิต,ปาจรียางกูร,,2562-05-28
774,พลเอก,อู้ด,เบื้องบน,,2562-05-28
775,พลตรี,โอสถ,ภาวิไล,,2562-05-28
776,นาย,อภิชาติ,โตดิลกเวชช์,,2562-05-28
777,พลอากาศเอก,มานัต,วงษ์วาทย์,,2562-05-28
778,พันตำรวจเอก,ทวี,สอดส่อง,ประชาชาติ,2562-03-24
779,นาย,เผดิมชัย,สะสมทรัพย์,ชาติไทยพัฒนา,2562-03-24
780,นาย,สวาป,เผ่าประทาน,ภูมิใจไทย,2562-03-24
781,นาย,มานพ,คีรีภูวดล,ก้าวไกล,2562-03-24
782,นาย,สมศักดิ์,คุณเงิน,เศรษฐกิจไทย,2562-03-24
783,นางสาว,พิมพ์รพี,พันธุ์วิชาติกุล,ประชาธิปัตย์,2562-03-24
784,นาย,เพชรภูมิ,อาภรณ์รัตน์,พลังประชารัฐ,2562-03-24
785,นาย,ยุทธนา,โพธสุธน,เศรษฐกิจไทย,2562-03-24
786,นาย,สุชาติ,โชคชัยวัฒนากร,ภูมิใจไทย,2562-03-24
787,นาย,วัฒนา,สิทธิวัง,พลังประชารัฐ,2562-03-24
788,นาย,จัตุรงค์,เสริมสุข,,2562-05-28
789,นาย,วิชัย,ทิตตภักดี,,2562-05-28
790,นาย,ประสิทธิ์,ปทุมารักษ์,,2562-05-28
791,พลอากาศเอก,แอร์บูล,สุทธิวรรณ,,2562-05-28
792,พลเอก,เฉลิมพล,ศรีสวัสดิ์,,2562-05-28
793,พลเรือเอก,ชาติชาย,ศรีวรขาน,,2562-05-28
794,พลเอก,ณรงค์พันธ์,จิตต์แก้วแท้,,2562-05-28
795,พลตำรวจเอก,สุวัฒน์,แจ้งยอดสุข,,2562-05-28
796,นาย,อาคม,เติมพิทยาไพสิฐ,,2562-07-10
797,นาย,ปรีดี,ดาวฉาย,,2562-07-10
798,นาย,สุพัฒนพงษ์,พันธ์มีเชาว์,,2562-07-10
799,นาย,เอนก,เหล่าธรรมทัศน์,,2562-07-10
800,กองตรี,อาญาสิทธิ์,ศรีสุวรรณ,พลังประชารัฐ,2562-03-24
801,นาย,ต่อศักดิ์,อัศวเหม,พลังประชารัฐ,2562-03-24
802,นาย,สุรพร,ดนัยตั้งตระกูล,พลังประชารัฐ,2562-03-24
803,นาย,ชวน,ชูจันทร์,พลังประชารัฐ,2562-03-24
804,นาย,จักพันธ์,ปิยพรไพบูลย์,ประชาธิปัตย์,2562-03-24
805,นางสาว,สุภาพร,กำเนิดผล,ประชาธิปัตย์,2562-03-24
806,นางสาว,สุเนตตา,แซ่โก๊ะ ,รวมพลังประชาชาติไทย,2562-03-24
807,นาง,บุญญาพร,นาตะธนภัทร,พลังชาติไทย,2562-03-24
808,นาย,สุรชาติ,เทียนทอง,เพื่อไทย,2562-03-24
809,นาย,ภาคิน,สมมิตรธนกุล,พลังประชารัฐ,2562-03-24
810,นาย,อิสรพงษ์,มากอำไพ,ประชาธิปัตย์,2562-03-24
811,นาย,ชัยทิพย์,กมลพันธ์ทิพย์,ประชาธิปัตย์,2562-03-24
812,นาย,นราพัฒน์,แก้วทอง,ประชาธิปัตย์,2562-03-24
813,นางสาว,จิราพร,นาคดิลก,เศรษฐกิจใหม่,2562-03-24